iter	Passed	Remaining
0	185	36847
1	215	21306
2	247	16231
3	276	13558
4	366	14306
5	465	15037
6	537	14815
7	583	14012
8	631	13403
9	690	13125
10	738	12687
11	778	12202
12	818	11772
13	861	11446
14	896	11061
15	934	10747
16	976	10513
17	1023	10346
18	1084	10332
19	1142	10284
20	1193	10169
21	1241	10045
22	1282	9869
23	1362	9988
24	1410	9872
25	1440	9637
26	1470	9421
27	1500	9219
28	1532	9034
29	1561	8850
30	1592	8680
31	1622	8518
32	1654	8374
33	1686	8236
34	1728	8148
35	1788	8149
36	1857	8183
37	1902	8112
38	1938	8001
39	1968	7875
40	2001	7760
41	2030	7639
42	2061	7527
43	2094	7426
44	2125	7321
45	2159	7228
46	2197	7153
47	2233	7073
48	2266	6986
49	2297	6892
50	2331	6810
51	2362	6724
52	2395	6644
53	2426	6560
54	2458	6481
55	2486	6394
56	2520	6322
57	2555	6257
58	2594	6200
59	2625	6126
60	2659	6060
61	2691	5991
62	2724	5925
63	2765	5877
64	2804	5823
65	2833	5753
66	2868	5693
67	2905	5640
68	2942	5586
69	2988	5549
70	3024	5494
71	3058	5438
72	3092	5379
73	3130	5330
74	3166	5276
75	3201	5223
76	3241	5178
77	3281	5132
78	3316	5079
79	3354	5031
80	3397	4991
81	3433	4940
82	3470	4891
83	3510	4848
84	3547	4799
85	3584	4752
86	3620	4701
87	3653	4649
88	3691	4604
89	3724	4552
90	3753	4496
91	3799	4460
92	3839	4416
93	3875	4369
94	3910	4321
95	3942	4271
96	3978	4224
97	4010	4174
98	4044	4126
99	4074	4074
100	4109	4028
101	4141	3979
102	4181	3937
103	4213	3889
104	4245	3841
105	4275	3791
106	4312	3748
107	4350	3705
108	4385	3661
109	4488	3672
110	4695	3765
111	4758	3738
112	4789	3687
113	4830	3644
114	4863	3594
115	4894	3544
116	4924	3493
117	4957	3444
118	4997	3401
119	5041	3360
120	5081	3317
121	5117	3271
122	5152	3225
123	5186	3178
124	5220	3132
125	5259	3088
126	5291	3041
127	5325	2995
128	5357	2948
129	5388	2901
130	5419	2854
131	5454	2809
132	5489	2765
133	5529	2723
134	5563	2678
135	5596	2633
136	5636	2592
137	5668	2546
138	5698	2500
139	5728	2455
140	5760	2410
141	5796	2367
142	5836	2326
143	5866	2281
144	5901	2238
145	5934	2194
146	5965	2150
147	5994	2106
148	6025	2062
149	6058	2019
150	6092	1976
151	6124	1933
152	6159	1892
153	6203	1853
154	6235	1810
155	6271	1768
156	6308	1727
157	6337	1684
158	6365	1641
159	6396	1599
160	6425	1556
161	6456	1514
162	6486	1472
163	6521	1431
164	6552	1389
165	6582	1348
166	6612	1306
167	6641	1265
168	6669	1223
169	6703	1182
170	6731	1141
171	6764	1101
172	6795	1060
173	6826	1020
174	6861	980
175	6888	939
176	6917	898
177	6947	858
178	6977	818
179	7006	778
180	7037	738
181	7065	698
182	7099	659
183	7128	619
184	7156	580
185	7187	541
186	7218	501
187	7248	462
188	7278	423
189	7309	384
190	7339	345
191	7371	307
192	7400	268
193	7431	229
194	7462	191
195	7494	152
196	7529	114
197	7560	76
198	7591	38
199	7622	0
